aria_account_id,aria_customer_id,aria_relationship_type
aria_acct_000001,aria_cust_000001,HOLDER
aria_acct_000001,aria_cust_003364,HOLDER
aria_acct_000002,aria_cust_000001,HOLDER
aria_acct_000003,aria_cust_000001,HOLDER
aria_acct_000004,aria_cust_000002,HOLDER
aria_acct_000004,aria_cust_004461,HOLDER
aria_acct_000005,aria_cust_000002,HOLDER
aria_acct_000006,aria_cust_000002,HOLDER
aria_acct_000007,aria_cust_000003,HOLDER
aria_acct_000007,aria_cust_001935,HOLDER
aria_acct_000008,aria_cust_000003,HOLDER
aria_acct_000009,aria_cust_000004,HOLDER
aria_acct_000010,aria_cust_000004,HOLDER
aria_acct_000010,aria_cust_002749,HOLDER
aria_acct_000011,aria_cust_000005,HOLDER
aria_acct_000012,aria_cust_000005,HOLDER
aria_acct_000013,aria_cust_000006,HOLDER
aria_acct_000013,aria_cust_003094,HOLDER
aria_acct_000014,aria_cust_000006,HOLDER
aria_acct_000015,aria_cust_000007,HOLDER
aria_acct_000016,aria_cust_000007,HOLDER
aria_acct_000017,aria_cust_000008,HOLDER
aria_acct_000018,aria_cust_000008,HOLDER
aria_acct_000019,aria_cust_000008,BORROWER
aria_acct_000020,aria_cust_000009,HOLDER
aria_acct_000020,aria_cust_001413,HOLDER
aria_acct_000021,aria_cust_000010,HOLDER
aria_acct_000022,aria_cust_000010,HOLDER
aria_acct_000022,aria_cust_004882,HOLDER
aria_acct_000023,aria_cust_000011,HOLDER
aria_acct_000024,aria_cust_000011,HOLDER
aria_acct_000025,aria_cust_000012,HOLDER
aria_acct_000026,aria_cust_000012,HOLDER
aria_acct_000026,aria_cust_000547,HOLDER
aria_acct_000027,aria_cust_000013,HOLDER
aria_acct_000027,aria_cust_003587,BENEFICIARY
aria_acct_000028,aria_cust_000013,HOLDER
aria_acct_000029,aria_cust_000014,HOLDER
aria_acct_000030,aria_cust_000014,HOLDER
aria_acct_000031,aria_cust_000015,HOLDER
aria_acct_000031,aria_cust_003110,HOLDER
aria_acct_000032,aria_cust_000015,HOLDER
aria_acct_000032,aria_cust_000884,BENEFICIARY
aria_acct_000033,aria_cust_000016,HOLDER
aria_acct_000034,aria_cust_000016,HOLDER
aria_acct_000035,aria_cust_000017,HOLDER
aria_acct_000036,aria_cust_000017,HOLDER
aria_acct_000037,aria_cust_000017,HOLDER
aria_acct_000038,aria_cust_000018,HOLDER
aria_acct_000039,aria_cust_000018,HOLDER
aria_acct_000039,aria_cust_002304,BENEFICIARY
aria_acct_000040,aria_cust_000019,HOLDER
aria_acct_000040,aria_cust_003256,HOLDER
aria_acct_000041,aria_cust_000020,HOLDER
aria_acct_000042,aria_cust_000020,HOLDER
aria_acct_000043,aria_cust_000020,BORROWER
aria_acct_000044,aria_cust_000020,HOLDER
aria_acct_000044,aria_cust_001042,HOLDER
aria_acct_000045,aria_cust_000021,HOLDER
aria_acct_000046,aria_cust_000021,HOLDER
aria_acct_000047,aria_cust_000022,HOLDER
aria_acct_000048,aria_cust_000022,HOLDER
aria_acct_000049,aria_cust_000023,HOLDER
aria_acct_000050,aria_cust_000024,HOLDER
aria_acct_000051,aria_cust_000024,HOLDER
aria_acct_000052,aria_cust_000024,HOLDER
aria_acct_000052,aria_cust_002762,HOLDER
aria_acct_000053,aria_cust_000025,HOLDER
aria_acct_000054,aria_cust_000026,HOLDER
aria_acct_000054,aria_cust_002227,HOLDER
aria_acct_000055,aria_cust_000026,HOLDER
aria_acct_000055,aria_cust_000197,BENEFICIARY
aria_acct_000056,aria_cust_000026,BORROWER
aria_acct_000057,aria_cust_000027,HOLDER
aria_acct_000058,aria_cust_000027,HOLDER
aria_acct_000059,aria_cust_000028,HOLDER
aria_acct_000060,aria_cust_000028,HOLDER
aria_acct_000061,aria_cust_000028,HOLDER
aria_acct_000062,aria_cust_000029,HOLDER
aria_acct_000063,aria_cust_000029,HOLDER
aria_acct_000064,aria_cust_000029,BORROWER
aria_acct_000065,aria_cust_000030,HOLDER
aria_acct_000066,aria_cust_000030,HOLDER
aria_acct_000067,aria_cust_000030,HOLDER
aria_acct_000067,aria_cust_004454,HOLDER
aria_acct_000068,aria_cust_000031,HOLDER
aria_acct_000069,aria_cust_000031,HOLDER
aria_acct_000069,aria_cust_000779,BENEFICIARY
aria_acct_000070,aria_cust_000032,HOLDER
aria_acct_000071,aria_cust_000033,HOLDER
aria_acct_000071,aria_cust_003454,HOLDER
aria_acct_000072,aria_cust_000033,HOLDER
aria_acct_000073,aria_cust_000034,HOLDER
aria_acct_000074,aria_cust_000034,HOLDER
aria_acct_000075,aria_cust_000035,HOLDER
aria_acct_000075,aria_cust_004398,BENEFICIARY
aria_acct_000076,aria_cust_000036,HOLDER
aria_acct_000077,aria_cust_000036,HOLDER
aria_acct_000078,aria_cust_000037,HOLDER
aria_acct_000079,aria_cust_000037,HOLDER
aria_acct_000079,aria_cust_004449,HOLDER
aria_acct_000080,aria_cust_000037,HOLDER
aria_acct_000081,aria_cust_000038,HOLDER
aria_acct_000082,aria_cust_000039,HOLDER
aria_acct_000082,aria_cust_003521,HOLDER
aria_acct_000083,aria_cust_000039,HOLDER
aria_acct_000084,aria_cust_000040,HOLDER
aria_acct_000085,aria_cust_000041,HOLDER
aria_acct_000086,aria_cust_000042,HOLDER
aria_acct_000087,aria_cust_000043,HOLDER
aria_acct_000088,aria_cust_000043,HOLDER
aria_acct_000089,aria_cust_000043,HOLDER
aria_acct_000090,aria_cust_000043,BORROWER
aria_acct_000090,aria_cust_004049,GUARANTOR
aria_acct_000091,aria_cust_000044,HOLDER
aria_acct_000091,aria_cust_001225,BENEFICIARY
aria_acct_000092,aria_cust_000044,HOLDER
aria_acct_000093,aria_cust_000045,HOLDER
aria_acct_000094,aria_cust_000045,HOLDER
aria_acct_000095,aria_cust_000046,HOLDER
aria_acct_000096,aria_cust_000046,BORROWER
aria_acct_000097,aria_cust_000047,HOLDER
aria_acct_000098,aria_cust_000047,HOLDER
aria_acct_000098,aria_cust_001999,HOLDER
aria_acct_000098,aria_cust_004482,BENEFICIARY
aria_acct_000099,aria_cust_000048,HOLDER
aria_acct_000100,aria_cust_000048,HOLDER
aria_acct_000101,aria_cust_000049,HOLDER
aria_acct_000101,aria_cust_003403,HOLDER
aria_acct_000102,aria_cust_000049,HOLDER
aria_acct_000103,aria_cust_000050,HOLDER
aria_acct_000104,aria_cust_000050,HOLDER
aria_acct_000104,aria_cust_000725,HOLDER
aria_acct_000105,aria_cust_000050,HOLDER
aria_acct_000105,aria_cust_000920,BENEFICIARY
aria_acct_000106,aria_cust_000050,BORROWER
aria_acct_000106,aria_cust_000911,GUARANTOR
aria_acct_000107,aria_cust_000051,HOLDER
aria_acct_000108,aria_cust_000052,HOLDER
aria_acct_000109,aria_cust_000052,HOLDER
aria_acct_000109,aria_cust_002771,HOLDER
aria_acct_000110,aria_cust_000053,HOLDER
aria_acct_000111,aria_cust_000054,HOLDER
aria_acct_000112,aria_cust_000054,HOLDER
aria_acct_000112,aria_cust_001430,HOLDER
aria_acct_000113,aria_cust_000055,HOLDER
aria_acct_000114,aria_cust_000055,HOLDER
aria_acct_000115,aria_cust_000055,HOLDER
aria_acct_000116,aria_cust_000056,HOLDER
aria_acct_000116,aria_cust_004907,HOLDER
aria_acct_000117,aria_cust_000056,HOLDER
aria_acct_000118,aria_cust_000057,HOLDER
aria_acct_000118,aria_cust_001353,HOLDER
aria_acct_000119,aria_cust_000057,HOLDER
aria_acct_000119,aria_cust_001378,HOLDER
aria_acct_000120,aria_cust_000057,HOLDER
aria_acct_000120,aria_cust_002197,BENEFICIARY
aria_acct_000121,aria_cust_000058,HOLDER
aria_acct_000122,aria_cust_000058,HOLDER
aria_acct_000123,aria_cust_000058,HOLDER
aria_acct_000123,aria_cust_003494,HOLDER
aria_acct_000123,aria_cust_001723,BENEFICIARY
aria_acct_000124,aria_cust_000059,HOLDER
aria_acct_000125,aria_cust_000059,HOLDER
aria_acct_000126,aria_cust_000059,BORROWER
aria_acct_000127,aria_cust_000060,HOLDER
aria_acct_000127,aria_cust_004954,HOLDER
aria_acct_000128,aria_cust_000060,HOLDER
aria_acct_000128,aria_cust_003218,HOLDER
aria_acct_000129,aria_cust_000061,HOLDER
aria_acct_000130,aria_cust_000061,HOLDER
aria_acct_000131,aria_cust_000062,HOLDER
aria_acct_000132,aria_cust_000062,HOLDER
aria_acct_000133,aria_cust_000062,BORROWER
aria_acct_000134,aria_cust_000063,HOLDER
aria_acct_000135,aria_cust_000063,HOLDER
aria_acct_000135,aria_cust_004121,HOLDER
aria_acct_000136,aria_cust_000064,HOLDER
aria_acct_000137,aria_cust_000064,HOLDER
aria_acct_000138,aria_cust_000065,HOLDER
aria_acct_000139,aria_cust_000066,HOLDER
aria_acct_000140,aria_cust_000066,HOLDER
aria_acct_000141,aria_cust_000066,HOLDER
aria_acct_000142,aria_cust_000066,BORROWER
aria_acct_000143,aria_cust_000067,HOLDER
aria_acct_000144,aria_cust_000068,HOLDER
aria_acct_000144,aria_cust_001158,BENEFICIARY
aria_acct_000145,aria_cust_000068,HOLDER
aria_acct_000146,aria_cust_000069,HOLDER
aria_acct_000147,aria_cust_000069,BORROWER
aria_acct_000148,aria_cust_000070,HOLDER
aria_acct_000148,aria_cust_001483,HOLDER
aria_acct_000149,aria_cust_000070,HOLDER
aria_acct_000149,aria_cust_004094,HOLDER
aria_acct_000150,aria_cust_000071,HOLDER
aria_acct_000151,aria_cust_000071,HOLDER
aria_acct_000152,aria_cust_000072,HOLDER
aria_acct_000153,aria_cust_000073,HOLDER
aria_acct_000154,aria_cust_000073,HOLDER
aria_acct_000155,aria_cust_000074,HOLDER
aria_acct_000156,aria_cust_000074,HOLDER
aria_acct_000157,aria_cust_000075,HOLDER
aria_acct_000158,aria_cust_000075,HOLDER
aria_acct_000159,aria_cust_000076,HOLDER
aria_acct_000159,aria_cust_003278,HOLDER
aria_acct_000159,aria_cust_004391,BENEFICIARY
aria_acct_000160,aria_cust_000076,HOLDER
aria_acct_000160,aria_cust_000359,HOLDER
aria_acct_000161,aria_cust_000077,HOLDER
aria_acct_000162,aria_cust_000077,BORROWER
aria_acct_000162,aria_cust_002887,GUARANTOR
aria_acct_000163,aria_cust_000078,HOLDER
aria_acct_000164,aria_cust_000078,HOLDER
aria_acct_000165,aria_cust_000079,HOLDER
aria_acct_000165,aria_cust_003025,HOLDER
aria_acct_000166,aria_cust_000079,HOLDER
aria_acct_000166,aria_cust_000488,HOLDER
aria_acct_000167,aria_cust_000080,HOLDER
aria_acct_000168,aria_cust_000080,HOLDER
aria_acct_000168,aria_cust_001822,BENEFICIARY
aria_acct_000169,aria_cust_000081,HOLDER
aria_acct_000170,aria_cust_000081,HOLDER
aria_acct_000171,aria_cust_000081,HOLDER
aria_acct_000172,aria_cust_000082,HOLDER
aria_acct_000172,aria_cust_004219,HOLDER
aria_acct_000173,aria_cust_000082,HOLDER
aria_acct_000174,aria_cust_000082,HOLDER
aria_acct_000175,aria_cust_000083,HOLDER
aria_acct_000176,aria_cust_000083,HOLDER
aria_acct_000177,aria_cust_000084,HOLDER
aria_acct_000178,aria_cust_000085,HOLDER
aria_acct_000178,aria_cust_001790,HOLDER
aria_acct_000179,aria_cust_000085,HOLDER
aria_acct_000179,aria_cust_003653,HOLDER
aria_acct_000180,aria_cust_000085,HOLDER
