aria_account_id,aria_account_type,aria_product_name,aria_open_date,aria_open_channel,aria_status,aria_initial_balance,aria_current_balance,aria_loan_amount,aria_loan_release_date,aria_loan_maturity_date,aria_peak_activity_period
aria_acct_000001,Checking,PREFERRED CHECKING,2018-10-13 00:00:00,Mobile,ACTIVE,0,24496,,,,Morning
aria_acct_000002,Savings,POD Savings Account,2017-09-28 00:00:00,In-Person,ACTIVE,0,28125,,,,Evening
aria_acct_000003,Credit Card,SR Visa Signature Rewards,2024-09-20 00:00:00,Online,ACTIVE,0,14170,,,,Evening
aria_acct_000004,Checking,ICHECKING,2015-12-14 00:00:00,Phone,ACTIVE,0,37428,,,,Afternoon
aria_acct_000005,Savings,POD Savings Account,2025-10-08 00:00:00,Mobile,ACTIVE,0,31088,,,,Morning
aria_acct_000006,Credit Card,SR Visa Signature Rewards,2020-10-01 00:00:00,Mobile,ACTIVE,0,44879,,,,Evening
aria_acct_000007,Checking,PREFERRED CHECKING,2017-11-23 00:00:00,Online,ACTIVE,0,15093,,,,Morning
aria_acct_000008,Savings,POD Savings Account,2021-07-21 00:00:00,Mobile,ACTIVE,0,92179,,,,Evening
aria_acct_000009,Checking,PREFERRED CHECKING,2021-06-16 00:00:00,Mobile,ACTIVE,0,2611,,,,Evening
aria_acct_000010,Credit Card,PP Visa Platinum Rewards,2021-05-10 00:00:00,Online,ACTIVE,0,61842,,,,Morning
aria_acct_000011,Checking,PREFERRED CHECKING,2017-03-30 00:00:00,Online,ACTIVE,0,34648,,,,Evening
aria_acct_000012,Savings,POD Savings Account,2009-03-20 00:00:00,Online,ACTIVE,0,116979,,,,Afternoon
aria_acct_000013,Checking,PREMIER CHECKING,2013-06-09 00:00:00,In-Person,ACTIVE,0,14691,,,,Morning
aria_acct_000014,Credit Card,SR Visa Signature Rewards,2020-02-07 00:00:00,Online,ACTIVE,0,48363,,,,Morning
aria_acct_000015,Checking,PREMIER CHECKING,2020-06-04 00:00:00,In-Person,ACTIVE,0,141347,,,,Evening
aria_acct_000016,Savings,Money Market Savings,2020-05-31 00:00:00,Mobile,ACTIVE,0,1118,,,,Morning
aria_acct_000017,Checking,Checking Account,2011-12-17 00:00:00,In-Person,ACTIVE,0,90195,,,,Evening
aria_acct_000018,Savings,POD Savings Account,2025-04-08 00:00:00,Mobile,ACTIVE,0,4856,,,,Evening
aria_acct_000019,Loan,Fixed 30 Yr 1st Mortgage,2022-03-22 00:00:00,In-Person,ACTIVE,0,0,37867.0,2022-03-22 00:00:00,2023-05-11 00:00:00,Evening
aria_acct_000020,Checking,PREFERRED CHECKING,2025-05-10 00:00:00,Mobile,ACTIVE,0,11251,,,,Morning
aria_acct_000021,Checking,PREFERRED CHECKING,2007-07-17 00:00:00,In-Person,ACTIVE,0,132080,,,,Evening
aria_acct_000022,Savings,Trust Savings Account,2013-10-31 00:00:00,In-Person,ACTIVE,0,57314,,,,Morning
aria_acct_000023,Checking,PREMIER CHECKING,2018-05-03 00:00:00,Phone,ACTIVE,0,59599,,,,Evening
aria_acct_000024,Savings,POD Savings Account,2016-04-08 00:00:00,In-Person,ACTIVE,0,145258,,,,Evening
aria_acct_000025,Checking,ICHECKING,2018-08-28 00:00:00,In-Person,ACTIVE,0,134122,,,,Evening
aria_acct_000026,Savings,POD Savings Account,2023-04-30 00:00:00,Online,ACTIVE,0,23780,,,,Morning
aria_acct_000027,Checking,PREFERRED CHECKING,2025-07-25 00:00:00,In-Person,ACTIVE,0,31454,,,,Morning
aria_acct_000028,Savings,POD Savings Account,2025-02-04 00:00:00,Mobile,ACTIVE,0,11877,,,,Morning
aria_acct_000029,Checking,ICHECKING,2023-02-02 00:00:00,Mobile,ACTIVE,0,3472,,,,Afternoon
aria_acct_000030,Savings,Money Market Savings,2016-01-01 00:00:00,Phone,ACTIVE,0,33216,,,,Afternoon
aria_acct_000031,Checking,PREFERRED CHECKING,2016-11-28 00:00:00,Mobile,ACTIVE,0,15091,,,,Afternoon
aria_acct_000032,Savings,Money Market Savings,2025-10-17 00:00:00,Online,ACTIVE,0,12426,,,,Evening
aria_acct_000033,Checking,Checking Account,2017-03-07 00:00:00,Phone,ACTIVE,0,36232,,,,Evening
aria_acct_000034,Savings,POD Savings Account,2015-02-11 00:00:00,In-Person,ACTIVE,0,27865,,,,Morning
aria_acct_000035,Checking,PREFERRED CHECKING,2024-04-30 00:00:00,Mobile,ACTIVE,0,2405,,,,Morning
aria_acct_000036,Savings,Money Market Savings,2014-07-09 00:00:00,In-Person,ACTIVE,0,19054,,,,Evening
aria_acct_000037,Credit Card,SR Visa Signature Rewards,2017-10-17 00:00:00,In-Person,ACTIVE,0,87638,,,,Afternoon
aria_acct_000038,Checking,ICHECKING,2022-10-02 00:00:00,Referral,ACTIVE,0,44308,,,,Evening
aria_acct_000039,Savings,POD Savings Account,2020-08-06 00:00:00,Online,ACTIVE,0,34559,,,,Afternoon
aria_acct_000040,Checking,PREFERRED CHECKING,2023-07-13 00:00:00,Mobile,ACTIVE,0,15477,,,,Morning
aria_acct_000041,Checking,PREMIER CHECKING,2021-03-23 00:00:00,Online,ACTIVE,0,7813,,,,Afternoon
aria_acct_000042,Savings,POD Savings Account,2018-08-20 00:00:00,Mobile,ACTIVE,0,96378,,,,Evening
aria_acct_000043,Loan,Line of Credit,2017-03-23 00:00:00,Phone,ACTIVE,0,0,126445.0,2017-03-23 00:00:00,2026-01-31 00:00:00,Morning
aria_acct_000044,Certificate Deposit,Certificate Account 1 Year,2024-06-19 00:00:00,Online,ACTIVE,0,68089,,,,Afternoon
aria_acct_000045,Checking,PREFERRED CHECKING,2024-01-17 00:00:00,Mobile,ACTIVE,0,4908,,,,Morning
aria_acct_000046,Savings,POD Savings Account,2022-02-25 00:00:00,Mobile,ACTIVE,0,20294,,,,Evening
aria_acct_000047,Checking,PREMIER CHECKING,2025-09-01 00:00:00,Mobile,ACTIVE,0,30054,,,,Morning
aria_acct_000048,Savings,POD Savings Account,2020-09-08 00:00:00,In-Person,ACTIVE,0,24343,,,,Morning
aria_acct_000049,Checking,Checking Account,2025-05-17 00:00:00,Mobile,ACTIVE,0,50688,,,,Morning
aria_acct_000050,Checking,Checking Account,2025-06-12 00:00:00,Mobile,ACTIVE,0,15367,,,,Afternoon
aria_acct_000051,Savings,Trust Savings Account,2018-09-25 00:00:00,Online,ACTIVE,0,26330,,,,Afternoon
aria_acct_000052,Credit Card,SR Visa Signature Rewards,2010-10-24 00:00:00,In-Person,ACTIVE,0,12848,,,,Afternoon
aria_acct_000053,Checking,PREMIER CHECKING,2024-08-02 00:00:00,Referral,ACTIVE,0,15385,,,,Afternoon
