aria_alert_id,aria_customer_id,aria_account_id,aria_relationship_type,aria_risk_factor,aria_condition_id,aria_created_on,aria_state,aria_is_sar,aria_customer_type,trigger_amt,z_score,profile_mean,age,pair_total,ratio,n_counterparties,days_observed,txn_count
aria_alert_00001,aria_cust_004376,aria_acct_009228,OWNER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-12 00:00:00,OPEN,1,Business,252450.0,12.77,28041.87489560616,,,,,,
aria_alert_00002,aria_cust_001484,aria_acct_003136,HOLDER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-04 00:00:00,OPEN,0,Individual,289338.0,12.71,25984.204690610924,,,,,,
aria_alert_00003,aria_cust_000852,aria_acct_001795,HOLDER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-15 00:00:00,OPEN,0,Individual,133456.0,12.58,16594.019959925572,,,,,,
aria_alert_00004,aria_cust_004616,aria_acct_009695,OWNER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-11 00:00:00,OPEN,0,Business,188901.0,14.75,21056.384213890058,,,,,,
aria_alert_00005,aria_cust_004097,aria_acct_008678,OWNER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-29 00:00:00,OPEN,0,Business,70460.0,9.11,6159.6618716584235,,,,,,
aria_alert_00006,aria_cust_003587,aria_acct_009492,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-19 00:00:00,OPEN,1,Individual,185865.0,9.3,17812.122117470182,,,,,,
aria_alert_00007,aria_cust_004797,aria_acct_010033,OWNER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-21 00:00:00,OPEN,0,Business,236864.0,11.98,28211.235775286492,,,,,,
aria_alert_00008,aria_cust_002344,aria_acct_009626,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-15 00:00:00,OPEN,0,Individual,135719.0,6.53,12249.46257788334,,,,,,
aria_alert_00009,aria_cust_002432,aria_acct_009643,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-06 00:00:00,OPEN,0,Individual,43598.0,10.91,5463.994602092518,,,,,,
aria_alert_00010,aria_cust_003572,aria_acct_007577,HOLDER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-10 00:00:00,OPEN,0,Individual,93991.0,9.64,8039.687374762309,,,,,,
aria_alert_00011,aria_cust_001097,aria_acct_002292,HOLDER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-23 00:00:00,OPEN,0,Individual,90738.0,9.75,10893.415418872297,,,,,,
aria_alert_00012,aria_cust_001099,aria_acct_002295,HOLDER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-05 00:00:00,OPEN,0,Individual,52747.0,12.86,6518.500349478555,,,,,,
aria_alert_00013,aria_cust_003003,aria_acct_009360,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-12 00:00:00,OPEN,0,Individual,49330.0,6.19,6128.80723111986,,,,,,
aria_alert_00014,aria_cust_000102,aria_acct_000217,HOLDER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-17 00:00:00,OPEN,0,Individual,162503.0,9.35,26815.007247415033,,,,,,
aria_alert_00015,aria_cust_003801,aria_acct_010212,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-15 00:00:00,OPEN,0,Individual,99764.0,14.2,9215.374529825183,,,,,,
aria_alert_00016,aria_cust_002361,aria_acct_004993,HOLDER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-07 00:00:00,OPEN,0,Individual,118856.0,8.78,11548.475415545643,,,,,,
aria_alert_00017,aria_cust_002706,aria_acct_005683,HOLDER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-30 00:00:00,OPEN,0,Individual,200448.0,8.94,22216.80669562562,,,,,,
aria_alert_00018,aria_cust_000983,aria_acct_008903,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-05 00:00:00,OPEN,0,Individual,75264.0,10.64,8162.722085756414,,,,,,
aria_alert_00019,aria_cust_001590,aria_acct_003367,HOLDER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-15 00:00:00,OPEN,0,Individual,216488.0,6.98,23359.45406860817,,,,,,
aria_alert_00020,aria_cust_002686,aria_acct_009461,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-19 00:00:00,OPEN,0,Individual,216544.0,9.16,29970.94670467407,,,,,,
aria_alert_00021,aria_cust_004582,aria_acct_009634,OWNER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-27 00:00:00,OPEN,0,Business,185652.0,13.51,27190.540832462237,,,,,,
aria_alert_00022,aria_cust_003272,aria_acct_010402,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-02 00:00:00,OPEN,0,Individual,59481.0,12.15,7420.151362886747,,,,,,
aria_alert_00023,aria_cust_001091,aria_acct_009249,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-11 00:00:00,OPEN,0,Individual,174882.0,14.15,27418.73479990516,,,,,,
aria_alert_00024,aria_cust_002881,aria_acct_009615,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-08 00:00:00,OPEN,1,Individual,213854.0,7.09,19864.112750476095,,,,,,
aria_alert_00025,aria_cust_001446,aria_acct_003054,HOLDER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-08 00:00:00,OPEN,0,Individual,135190.0,12.56,13367.111116095244,,,,,,
aria_alert_00026,aria_cust_002063,aria_acct_009489,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-23 00:00:00,OPEN,1,Individual,107281.0,6.73,9415.227516219304,,,,,,
aria_alert_00027,aria_cust_004038,aria_acct_008559,OWNER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-14 00:00:00,OPEN,0,Business,148485.0,14.02,22694.61109507844,,,,,,
aria_alert_00028,aria_cust_003765,aria_acct_007992,HOLDER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-06 00:00:00,OPEN,0,Individual,239270.0,5.62,22490.11405949076,,,,,,
aria_alert_00029,aria_cust_002423,aria_acct_010388,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-28 00:00:00,OPEN,0,Individual,64107.0,8.34,9574.546853054064,,,,,,
aria_alert_00030,aria_cust_003837,aria_acct_009755,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-23 00:00:00,OPEN,0,Individual,98744.0,11.79,11094.733319527557,,,,,,
aria_alert_00031,aria_cust_003723,aria_acct_009506,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-13 00:00:00,OPEN,0,Individual,138848.0,11.38,20078.875825333955,,,,,,
aria_alert_00032,aria_cust_000299,aria_acct_010323,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-14 00:00:00,OPEN,0,Individual,91592.0,5.56,9388.85002005412,,,,,,
aria_alert_00033,aria_cust_003838,aria_acct_009041,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-07 00:00:00,OPEN,0,Individual,95615.0,10.03,8467.197038636405,,,,,,
aria_alert_00034,aria_cust_003717,aria_acct_009675,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-08 00:00:00,OPEN,0,Individual,183277.0,7.92,29160.66110515001,,,,,,
aria_alert_00035,aria_cust_003592,aria_acct_007624,HOLDER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-17 00:00:00,OPEN,0,Individual,142087.0,9.7,12789.61332678004,,,,,,
aria_alert_00036,aria_cust_004418,aria_acct_009316,OWNER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-18 00:00:00,OPEN,0,Business,172656.0,10.57,19978.28415964138,,,,,,
aria_alert_00037,aria_cust_002535,aria_acct_009974,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-30 00:00:00,OPEN,0,Individual,142628.0,13.17,14309.680761152125,,,,,,
aria_alert_00038,aria_cust_002784,aria_acct_009652,AUTHORIZED_USER,Activity Deviation (ACH),949e28e8-66f8-57a1-bf1d-800348982c1f,2026-03-08 00:00:00,OPEN,0,Individual,216642.0,9.46,22157.041597039984,,,,,,
