trxn_id,account_id,type,xceed_rf_score
1,a_1,Savings,8
2,a_2,Checking,10
3,a_3,Savings,8
4,a_4,Checking,9
5,a_5,Savings,3
6,a_6,Checking,0
7,a_7,Savings,1
8,a_8,Checking,7
9,a_9,Savings,5
10,a_10,Checking,7
11,a_11,Savings,5
12,a_12,Checking,3
13,a_13,Savings,0
14,a_14,Checking,5
15,a_15,Savings,1
16,a_16,Checking,9
17,a_17,Savings,5
18,a_18,Checking,6
19,a_19,Savings,2
20,a_20,Checking,3
21,a_21,Savings,4
22,a_22,Checking,1
23,a_23,Savings,5
24,a_24,Checking,1
25,a_25,Savings,5
26,a_26,Checking,1
27,a_27,Savings,4
28,a_28,Checking,8
29,a_29,Savings,5
30,a_30,Checking,7
31,a_31,Savings,5
32,a_32,Checking,9
33,a_33,Savings,5
34,a_34,Checking,6
35,a_35,Savings,8
36,a_36,Checking,4
37,a_37,Savings,7
38,a_38,Checking,7
39,a_39,Savings,3
40,a_40,Checking,3
41,a_41,Savings,5
42,a_42,Checking,7
43,a_43,Savings,2
44,a_44,Checking,7
45,a_45,Savings,1
46,a_46,Checking,5
47,a_47,Savings,4
48,a_48,Checking,5
49,a_49,Savings,2
50,a_50,Checking,9
51,a_6,Savings,0
52,a_51,Checking,3
53,a_52,Savings,3
54,a_53,Checking,7
55,a_54,Savings,3
56,a_55,Checking,6
57,a_56,Savings,5
58,a_57,Checking,9
59,a_58,Savings,1
60,a_59,Checking,5
61,a_60,Savings,0
62,a_61,Checking,5
63,a_62,Savings,3
64,a_63,Checking,10
65,a_64,Savings,5
66,a_65,Checking,3
67,a_66,Savings,3
68,a_67,Checking,1
69,a_68,Savings,1
70,a_69,Checking,8
71,a_70,Savings,9
72,a_71,Checking,4
73,a_72,Savings,7
74,a_73,Checking,2
75,a_74,Savings,6
76,a_75,Checking,9
77,a_76,Savings,8
78,a_77,Checking,10
79,a_78,Savings,3
80,a_79,Checking,6
81,a_80,Savings,10
82,a_81,Checking,1
83,a_82,Savings,7
84,a_83,Checking,8
85,a_84,Savings,2
86,a_85,Checking,6
87,a_86,Savings,9
88,a_87,Checking,8
89,a_88,Savings,4
90,a_89,Checking,9
91,a_90,Savings,10
92,a_91,Checking,9
93,a_92,Savings,3
94,a_93,Checking,9
95,a_94,Savings,4
96,a_95,Checking,7
97,a_96,Savings,7
98,a_97,Checking,5
99,a_98,Savings,9
100,a_99,Checking,7
101,a_100,Savings,10
102,a_77,Checking,10
103,a_101,Savings,8
104,a_102,Checking,2
105,a_103,Savings,10
106,a_53,Checking,7
107,a_104,Savings,9
108,a_105,Checking,5
109,a_65,Savings,3
110,a_106,Checking,5
111,a_107,Savings,8
112,a_108,Checking,2
113,a_109,Savings,0
114,a_110,Checking,8
115,a_111,Savings,0
116,a_112,Checking,7
117,a_113,Savings,0
118,a_114,Checking,5
119,a_115,Savings,10
120,a_116,Checking,7
121,a_117,Savings,6
122,a_118,Checking,0
123,a_94,Savings,4
124,a_119,Checking,2
