trxn_id,customer_id,residency_country_id,zipcode,xceed_rf_score
1,c_1,267,19806,6
2,c_2,267,NULL,6
3,c_3,254,60062,5
4,c_4,267,NULL,4
5,c_5,267,NULL,7
6,c_1,267,19806,6
7,c_6,267,NULL,2
8,c_7,267,NULL,10
9,c_8,267,94111,5
10,c_9,267,NULL,9
11,c_10,254,60521,0
12,c_11,267,61614,5
13,c_12,254,60630,10
14,c_13,267,94111,0
15,c_14,254,91601,10
16,c_15,267,NULL,4
17,c_16,267,NULL,0
18,c_17,267,94111,6
19,c_18,267,12729,2
20,c_1,267,19806,6
21,c_19,267,60654,6
22,c_20,267,NULL,5
23,c_21,267,NULL,10
24,c_22,267,NULL,2
25,c_23,267,NULL,1
26,c_24,267,NULL,9
27,c_25,267,NULL,10
28,c_26,267,NULL,1
29,c_27,254,60640,2
30,c_28,267,94111,8
31,c_29,267,60640,8
32,c_30,267,95110,0
33,c_30,267,95110,0
34,c_31,267,11354,8
35,c_32,267,NULL,4
36,c_33,267,NULL,3
37,c_34,254,60008,9
38,c_35,267,60640,2
39,c_36,254,60625,4
40,c_37,267,NULL,9
41,c_38,267,NULL,3
42,c_39,254,60153,6
43,c_40,254,12729,3
44,c_41,267,94111,0
45,c_42,267,NULL,3
46,c_43,267,98104,6
47,c_44,267,11354,1
48,c_45,254,60091,2
49,c_46,267,NULL,4
50,c_47,254,60008,8
51,c_1,267,19806,6
52,c_48,267,NULL,0
53,c_49,267,19901,4
54,c_50,254,60527,10
55,c_51,254,60625,4
56,c_52,254,60062,2
57,c_53,267,NULL,0
58,c_54,267,NULL,6
59,c_49,267,19901,4
60,c_30,267,95110,0
61,c_8,267,94111,5
62,c_13,267,94111,0
63,c_55,267,NULL,2
64,c_1,267,19806,6
65,c_56,267,60610,9
66,c_57,254,60026,8
67,c_58,267,60608,10
68,c_22,267,NULL,2
69,c_30,267,95110,0
70,c_59,267,NULL,9
71,c_60,254,60016,8
72,c_61,254,60076,3
73,c_22,267,NULL,2
74,c_62,254,60640,3
75,c_49,267,19901,4
76,c_63,267,NULL,4
77,c_41,267,94111,0
78,c_64,267,NULL,5
79,c_63,267,NULL,4
80,c_65,267,60646,6
81,c_13,267,94111,0
82,c_66,254,60440,3
83,c_67,254,91007,2
84,c_22,267,NULL,2
85,c_68,267,NULL,9
86,c_49,267,60148,4
87,c_49,267,60148,4
88,c_13,267,94111,0
