customer_id,out_degree,in_degree,unique_banks_sent_to,unique_banks_rcvd_from,structuring_score,fan_out_score,txn_velocity,cross_bank_ratio,total_out_txns,total_out_amt,max_single_txn,avg_txn_amt
000a3e6b-d732-4967-aab8-af5d2c1f8980,44,0,26,0,0.0227,0.0909,1.1282,0.5455,44,933148.12,90355.24,21207.91
002a9162-b386-4857-9d2c-b919190d9db5,63,0,32,0,0.0,0.0635,1.0678,0.4286,63,2551420.85,89908.76,40498.74
00305a26-d504-456b-81f4-79b1b61a433a,66,0,33,0,0.0,0.0606,1.1579,0.5758,66,170051.82,5974.11,2576.54
0031f953-8985-4406-98c1-461e98ea0d78,32,0,21,0,0.0,0.0938,1.0667,0.5,32,3513685.41,263485.03,109802.67
005b52b2-8fe6-4df1-9dcb-a97e8f6f0a45,36,0,25,0,0.0,0.0556,1.0588,0.4722,36,2304546.73,142650.27,64015.19
007286a4-60ff-42f6-ace4-5e189d7cd997,45,0,26,0,0.0,0.0667,1.1538,0.4,45,64914.09,3415.99,1442.54
0089c67d-3955-4000-bd92-edd8a2cff028,60,0,31,0,0.0,0.0635,1.1053,0.5079,63,14733947.02,677974.52,233872.17
009b61fc-6973-4015-96b5-c79e393c4cdd,62,0,31,0,0.0,0.0645,1.0877,0.4516,62,75620.05,2947.76,1219.68
00cee7b7-5fcf-43da-8962-dca983a513e8,51,0,26,0,0.0,0.0784,1.1087,0.4314,51,14874636.91,695361.0,291659.55
0100e3f6-2775-4c8e-a362-342435ce74aa,49,0,28,0,0.0385,0.0577,1.0833,0.5769,52,1310928.59,64005.29,25210.17
010b7b7d-26b4-4a2b-8749-fc7897cf20ce,65,0,30,0,0.0,0.0462,1.1607,0.5692,65,2945167.74,151737.46,45310.27
012b7679-7c90-446c-b991-56e53536804b,52,0,27,0,0.0,0.0755,1.0816,0.4906,53,1642994.95,97625.53,30999.9
012c65b8-e427-4712-b109-9487b1a4cfd7,64,0,31,0,0.0156,0.0781,1.1034,0.4688,64,2117757.56,106434.31,33089.96
0132695e-4a01-4331-b597-b44cb1d9e35f,50,0,27,0,0.0,0.0588,1.0851,0.6471,51,1830160.55,73604.64,35885.5
017854e6-01aa-4fa4-aef9-0c3ff2273615,55,0,29,0,0.0,0.0727,1.0377,0.5273,55,2164859.07,151735.13,39361.07
01866156-28e6-41f1-9825-5ce8d728d849,45,0,29,0,0.0,0.0889,1.0976,0.4222,45,8366586.13,462458.09,185924.14
0195e338-d2b7-46fb-849a-ba99b8347816,50,0,25,0,0.06,0.1,1.1111,0.4,50,1009380.34,62778.79,20187.61
01c195e7-b4c7-43a9-a132-32765fe233c8,54,0,29,0,0.0,0.0556,1.0588,0.4444,54,3834149.51,260046.19,71002.77
01d4c6e5-c44b-4687-b60e-bd9b515948c8,50,0,27,0,0.0,0.08,1.0417,0.46,50,5881970.46,300112.49,117639.41
01f7e2ed-1f63-4411-bfe9-7b1598d0cd73,50,0,26,0,0.0,0.0784,1.0408,0.5686,51,4896415.56,286438.83,96008.15
0210a25f-1861-4066-92ee-efd1ce6f93b4,58,0,28,0,0.0,0.069,1.0545,0.5345,58,3753327.18,161641.87,64712.54
