trxn_id,cash_direction,transaction_type,amount,other_party_id,institution_id,xceed_rf_score,isFraud
1,CashIn,ACH,1761,4272311,43,7,0
2,CashIn,ACH,116500,7353,3,7,0
3,CashOut,ACH,53800,3426331,133,8,0
4,CashIn,ACH,7869,6228,345,10,1
5,CashIn,ACH,4583,565953,43,6,0
6,CashIn,ACH,8934,4928,18,2,0
7,CashIn,ACH,231138,4928,18,10,1
8,CashIn,ACH,127927,4928,18,8,0
9,CashIn,Wire,8380927,4228373,263,5,0
10,CashIn,ACH,13123,4928,18,1,0
11,CashIn,ACH,69124,7812,49,6,0
12,CashIn,ACH,26385,2268251,110146,1,0
13,CashOut,ACH,8269,3426522,11,8,0
14,CashIn,Wire,5481000,1754306,161,1,0
15,CashOut,ACH,1249,3426887,3,2,0
16,CashIn,ACH,76500,7353,3,1,0
17,CashIn,ACH,13417,4272311,43,2,0
18,CashIn,ACH,394,4585734,81822,1,0
19,CashOut,ACH,840,3426887,3,8,0
20,CashIn,ACH,220928,4928,18,8,0
21,CashIn,ACH,73300,483,3,6,0
22,CashIn,Wire,9889759,3161926,559,5,0
23,CashIn,ACH,4156,4928,18,8,0
24,CashIn,ACH,76294,4928,18,8,0
25,CashIn,ACH,30927,4928,18,10,1
26,CashIn,ACH,196927,4928,18,3,0
27,CashIn,ACH,3410,72679,6,5,0
28,CashIn,ACH,62176,2197441,18,8,0
29,CashOut,ACH,15000,4947,3,3,0
30,CashIn,Wire,5940272,1931268,239,6,0
31,CashOut,ACH,123490,3426387,27,1,0
32,CashIn,ACH,20262,4928,18,7,0
33,CashIn,ACH,1795,4928,18,9,1
34,CashIn,ACH,211122,4928,18,5,0
35,CashIn,ACH,273422,4928,18,7,0
36,CashIn,ACH,16891022,4928,18,1,0
37,CashOut,ACH,27942,3390944,18,10,1
38,CashIn,ACH,149963,4562,31,10,1
39,CashIn,ACH,42100,400,2791,5,0
40,CashIn,ACH,89258,4928,18,7,0
41,CashIn,ACH,519710,4928,18,1,0
42,CashIn,ACH,16872,4206,18,4,0
43,CashOut,ACH,5023,3426887,3,8,0
44,CashIn,Wire,572360,472008,146,6,0
45,CashIn,Wire,296500,3794528,710,7,0
46,CashIn,ACH,3760,1453148,15,4,0
47,CashIn,ACH,68445,6228,345,4,0
48,CashIn,ACH,40000,1702,18,4,0
49,CashIn,ACH,200738,4928,18,9,1
50,CashOut,ACH,20000,4928491,1,2,0
51,CashIn,ACH,27483,4272311,43,6,0
52,CashIn,ACH,1977,72679,6,10,1
53,CashIn,ACH,64217,1453148,15,10,1
54,CashOut,ACH,5299281,3426387,27,5,0
55,CashOut,ACH,64200,3445676,13,6,0
56,CashOut,ACH,6112,4950423,1,10,1
57,CashIn,ACH,5522,4928,18,10,1
58,CashIn,ACH,61362,1453148,15,1,0
59,CashIn,ACH,1382,1453148,15,0,0
60,CashIn,ACH,770000,7353,3,2,0
61,CashIn,Wire,1038960,2720032,71,2,0
62,CashIn,Wire,298000,1517706,1,9,1
63,CashIn,ACH,1989,1453148,15,5,0
64,CashIn,ACH,151025,4928,18,0,0
65,CashIn,ACH,135600,2654091,2,5,0
66,CashOut,ACH,39500,7743,18,7,0
67,CashIn,ACH,8094,4974,3,8,0
68,CashIn,ACH,40837,4928,18,4,0
69,CashIn,ACH,19604,4928,18,9,1
70,CashIn,ACH,450000,7353,3,2,0
71,CashIn,ACH,75317,7642,78,3,0
72,CashIn,ACH,110586,83564,2,8,0
73,CashIn,ACH,14785,4928,18,3,0
74,CashIn,ACH,11000,4954779,1,3,0
75,CashIn,ACH,14326,1453148,15,4,0
76,CashIn,ACH,2357,1453148,15,8,0
77,CashIn,Wire,943017,157708,313,1,0
78,CashIn,ACH,1190,1453148,15,3,0
79,CashIn,ACH,6875,1453148,15,2,0
80,CashIn,ACH,852732,3988600,183,5,0
81,CashIn,Wire,638400,4895261,508,0,0
82,CashOut,ACH,376,12412,18,8,0
83,CashOut,ACH,9721858,848287,49,9,1
84,CashIn,ACH,830,4928,18,3,0
85,CashIn,ACH,4700,72679,6,7,0
86,CashIn,ACH,3410,72679,6,0,0
87,CashIn,ACH,4802,72679,6,1,0
88,CashIn,Wire,473676,1481768,525,8,0
89,CashOut,ACH,2617485,4814495,49,0,0
90,CashIn,ACH,1799538,4928,18,3,0
91,CashIn,ACH,274930,4928,18,4,0
92,CashIn,ACH,65280,4928,18,2,0
93,CashOut,ACH,255207,3746745,31,8,0
94,CashIn,Wire,256200,2463285,718,0,0
95,CashIn,ACH,24019,4272311,43,5,0
96,CashIn,ACH,7223969,4928,18,1,0
97,CashIn,ACH,10603420,4075827,3,7,0
98,CashIn,ACH,49817,2682595,3,2,0
99,CashIn,ACH,16449,4928,18,8,0
100,CashIn,Wire,4702239,4968849,815,8,0
101,CashIn,ACH,22000,5612,11,10,1
102,CashIn,ACH,3650,1453148,15,7,0
103,CashIn,ACH,290439,4928,18,10,1
104,CashIn,ACH,3267,1453148,15,2,0
105,CashIn,Wire,525747,472008,146,2,0
106,CashOut,ACH,142674,1601690,6,5,0
107,CashIn,Wire,345100,4929601,8592,1,0
108,CashIn,ACH,10083,4928,18,10,1
109,CashIn,ACH,12477,4974,3,8,0
110,CashIn,Wire,3000000,36010,71,2,0
111,CashIn,Wire,400772,3797328,525,10,1
112,CashIn,ACH,96488,4928,18,0,0
113,CashIn,Wire,242800,4337580,747,6,0
114,CashIn,Wire,718500,4929665,896,1,0
115,CashIn,ACH,373,1453148,15,2,0
116,CashIn,ACH,88000,5388,7,8,0
117,CashIn,ACH,8800,4376826,3,10,1
118,CashIn,Wire,101484,157708,313,8,0
119,CashIn,ACH,229560,4928,18,10,1
120,CashIn,ACH,660100,7353,3,2,0
121,CashOut,ACH,15000,74705,18,3,0
122,CashIn,Wire,559799,157708,313,8,0
123,CashIn,ACH,322151,4928,18,2,0
124,CashIn,Wire,827600,354393,1,6,0
125,CashIn,Wire,123468,157708,313,8,0
126,CashIn,ACH,155041,4928,18,5,0
127,CashIn,ACH,595,1453148,15,4,0
128,CashOut,ACH,101200,3426387,27,2,0
129,CashIn,ACH,183881,2230972,100,5,0
130,CashIn,ACH,1368731,6019,15,5,0
131,CashIn,ACH,35212,4928,18,1,0
132,CashIn,ACH,46562,4928,18,1,0
133,CashIn,ACH,895,1453148,15,4,0
134,CashIn,ACH,146500,7353,3,0,0
135,CashIn,ACH,3500,60683,10,1,0
136,CashIn,ACH,714667,4928,18,0,0
137,CashIn,ACH,185028,2654091,2,1,0
138,CashIn,ACH,822,4928,18,4,0
139,CashIn,ACH,4691165,4928,18,8,0
140,CashIn,Wire,12040,4924332,2041,3,0
141,CashIn,ACH,106981,4928,18,6,0
142,CashIn,ACH,119262,4841613,139112,8,0
143,CashIn,ACH,116595,1592,18,10,1
144,CashIn,ACH,329276,4797626,139,4,0
145,CashIn,ACH,53650,4928,18,5,0
146,CashIn,ACH,69985,7353,3,8,0
147,CashOut,ACH,66981,12412,18,6,0
148,CashIn,ACH,715,1453148,15,10,1
149,CashOut,ACH,39700,3433293,6,5,0
150,CashIn,ACH,186228,4928,18,7,0
151,CashOut,ACH,3000,3426887,3,6,0
152,CashIn,ACH,80847,6228,345,7,0
153,CashIn,ACH,1295,1453148,15,6,0
154,CashIn,ACH,62552,174896,3,3,0
155,CashIn,Wire,256911,157708,313,5,0
156,CashIn,ACH,86500,7353,3,2,0
157,CashIn,ACH,16310,22393,192,10,1
158,CashIn,ACH,10000000,163641,8105,6,0
159,CashIn,ACH,18349,6228,345,2,0
160,CashIn,ACH,57605,58937,34,9,1
161,CashIn,Wire,154200,4557693,499,4,0
162,CashOut,ACH,36566,3426621,10,2,0
163,CashIn,ACH,504374,13183,18,10,1
164,CashIn,ACH,2296,1453148,15,5,0
165,CashIn,ACH,3004,4272311,43,1,0
166,CashIn,ACH,37014,72679,6,1,0
167,CashIn,ACH,717789,4928,18,8,0
168,CashIn,ACH,51667,174896,3,2,0
169,CashIn,ACH,645,1453148,15,0,0
170,CashIn,ACH,1417,1453148,15,5,0
171,CashIn,ACH,2738,72679,6,7,0
172,CashIn,ACH,83500,2268251,110146,5,0
173,CashIn,ACH,495621,2230972,100,1,0
174,CashOut,ACH,7200,4931265,1,3,0
175,CashOut,ACH,110500,1926161,3,3,0
176,CashIn,ACH,14479,4928,18,9,1
177,CashIn,ACH,53449,4928,18,1,0
178,CashIn,ACH,44133,6228,345,1,0
179,CashIn,ACH,1362075,4928,18,2,0
180,CashIn,ACH,27200,4928,18,10,1
181,CashIn,ACH,445,1453148,15,2,0
182,CashIn,ACH,450,5112,17,2,0
183,CashIn,ACH,4965,4928,18,4,0
184,CashIn,Wire,47500,4909342,1,1,0
185,CashIn,ACH,15200,4376826,3,7,0
186,CashIn,Wire,601510,157708,313,2,0
187,CashIn,Wire,574230,6477,239,9,1
188,CashIn,Wire,81275,1700800,695,0,0
189,CashOut,ACH,37123,3441189,21935,7,0
190,CashIn,ACH,893883,12664,18,10,1
191,CashOut,ACH,604446,1601690,6,7,0
192,CashIn,ACH,11803,4376826,3,9,1
193,CashIn,ACH,657,1453148,15,1,0
194,CashIn,ACH,13857,4928,18,4,0
195,CashIn,ACH,164985,4928,18,3,0
196,CashIn,Wire,474300,2983821,4205,8,0
197,CashIn,Wire,530000,2771316,239,5,0
198,CashIn,ACH,85113,6228,345,6,0
199,CashIn,ACH,486194,4585734,81822,1,0
200,CashIn,ACH,832726,4928,18,1,0
201,CashIn,ACH,20000,5112,17,7,0
202,CashIn,Wire,245128,1878876,71,10,1
203,CashIn,ACH,34723,1702,13,4,0
204,CashOut,ACH,123643,1601690,6,9,1
205,CashIn,Wire,3063000,1807481,4319,4,0
206,CashIn,Wire,133760,4050797,71,5,0
207,CashIn,Wire,852637,4542530,313,8,0
208,CashIn,ACH,7000,2654091,2,4,0
209,CashIn,ACH,10,4936288,1,0,0
210,CashOut,ACH,176902,3426978,3,0,0
211,CashOut,ACH,59547,12412,18,0,0
212,CashIn,ACH,238654,7353,3,2,0
213,CashIn,ACH,4124,4928,18,2,0
214,CashIn,ACH,6557,1453148,15,2,0
215,CashIn,ACH,168550,7353,3,1,0
216,CashOut,ACH,27630,4915915,1,9,1
217,CashIn,ACH,36421,4928,18,3,0
218,CashIn,ACH,639,1453148,15,3,0
219,CashIn,ACH,16150,4376826,3,2,0
220,CashIn,ACH,52712,74943,43,9,1
221,CashIn,ACH,24275,4585734,81822,4,0
222,CashOut,ACH,4751,3430217,16,0,0
223,CashIn,ACH,294256,4928,18,5,0
224,CashOut,ACH,5500,3390944,18,6,0
225,CashIn,ACH,480000,7353,3,0,0
226,CashIn,ACH,130296,6228,345,0,0
227,CashIn,ACH,217672,4928,18,9,1
228,CashOut,ACH,660,3495016,18,8,0
229,CashIn,ACH,468048,7353,3,8,0
230,CashIn,ACH,3067,72679,6,0,0
231,CashOut,ACH,39272,12412,18,6,0
232,CashIn,ACH,3106,4928,18,6,0
233,CashIn,ACH,245299,2654091,2,8,0
234,CashIn,ACH,166411,4928,18,2,0
235,CashIn,ACH,124989,62103,3,5,0
236,CashIn,ACH,228810,4928,18,5,0
237,CashIn,Wire,26000,4274800,239,8,0
238,CashIn,ACH,55615,4974,3,3,0
239,CashIn,Wire,13000,255774,2342,5,0
240,CashIn,ACH,1267,4928,18,7,0
241,CashIn,ACH,2143998,4928,18,10,1
242,CashOut,ACH,5350,3426626,18,10,1
243,CashIn,ACH,706500,7353,3,2,0
244,CashOut,ACH,13547,490114,18,0,0
245,CashIn,ACH,57600,1049455,3,3,0
246,CashIn,ACH,608588,4928,18,4,0
247,CashOut,ACH,26,14926,3,7,0
248,CashOut,ACH,20008,12412,18,8,0
249,CashIn,ACH,467419,59152,11,5,0
250,CashIn,ACH,766,1453148,15,5,0
251,CashIn,ACH,2165516,4387,2,8,0
252,CashIn,ACH,122121,4928,18,0,0
253,CashIn,ACH,93440,4928,18,0,0
254,CashIn,ACH,886869,13183,18,5,0
255,CashIn,ACH,74991,4000,3,2,0
256,CashIn,ACH,373845,4928,18,5,0
257,CashIn,Wire,668635,472008,146,1,0
258,CashIn,ACH,233000,4936202,1,5,0
259,CashIn,ACH,91565,59831,3,9,1
260,CashIn,ACH,1,4928,18,0,0
261,CashIn,ACH,1500870,6019,15,9,1
262,CashIn,ACH,13724,4928,18,5,0
263,CashIn,ACH,47874,4928,18,8,0
264,CashOut,ACH,7489,3440668,18,2,0
265,CashIn,ACH,30387,4928,18,8,0
266,CashIn,ACH,566,1453148,15,10,1
267,CashOut,ACH,10540,3475243,460,8,0
268,CashIn,ACH,87110,1453148,15,6,0
269,CashIn,ACH,9195,4928,18,7,0
270,CashIn,ACH,595,1453148,15,9,1
271,CashIn,ACH,105797,2654091,2,10,1
272,CashIn,ACH,12260,1453148,15,6,0
273,CashIn,ACH,7436,1453148,15,8,0
274,CashIn,ACH,101580,6228,345,9,1
275,CashIn,Wire,300150,4937370,6773,7,0
276,CashIn,ACH,8802,4928,18,2,0
277,CashOut,ACH,5000,4939154,1,3,0
278,CashIn,ACH,582326,4928,18,10,1
279,CashIn,ACH,66058,4928,18,3,0
280,CashIn,ACH,260,1453148,15,8,0
281,CashIn,ACH,42096,4928,18,5,0
282,CashIn,ACH,73600,400,2791,2,0
283,CashIn,ACH,2779,3416819,18,3,0
284,CashIn,ACH,216500,7353,3,3,0
285,CashIn,ACH,120000,4917089,1,4,0
286,CashIn,ACH,2537,1453148,15,0,0
287,CashIn,ACH,357003,4928,18,6,0
288,CashIn,Wire,1997500,4223892,239,8,0
289,CashIn,ACH,130196,4928,18,6,0
290,CashOut,ACH,121040,3429729,18,3,0
291,CashOut,ACH,3891,3426887,3,6,0
292,CashIn,Wire,2766380,472008,146,10,1
293,CashIn,ACH,42344,4928,18,5,0
294,CashIn,ACH,202,4272311,43,8,0
295,CashIn,ACH,103651,2268251,110146,2,0
296,CashIn,Wire,1731000,4932771,7832,9,1
297,CashIn,Wire,48300,4957120,5907,3,0
298,CashIn,ACH,798468,4928,18,6,0
299,CashIn,ACH,13407,4928,18,1,0
300,CashOut,ACH,125000,3426387,27,4,0
301,CashOut,ACH,327700,4916095,1,6,0
302,CashIn,ACH,14874,4928,18,6,0
303,CashIn,ACH,277237,4797626,139,5,0
304,CashIn,Wire,168829,157708,313,7,0
305,CashIn,ACH,2981,72679,6,7,0
306,CashIn,ACH,763,4928,18,2,0
307,CashIn,ACH,100504,58937,34,3,0
308,CashIn,ACH,6000,4953616,1,0,0
309,CashIn,ACH,142960,2654091,2,9,1
310,CashIn,ACH,78366,4272311,43,5,0
311,CashIn,Wire,7000000,4676397,71,4,0
312,CashOut,Wire,68400,4938894,13718,1,0
313,CashIn,ACH,78000,5388,7,8,0
314,CashIn,Wire,2146680,1595769,571,6,0
315,CashIn,ACH,192,4928,18,9,1
316,CashIn,ACH,13380,58604,142,0,0
317,CashIn,ACH,12436,4000,3,3,0
318,CashIn,ACH,2894,72679,6,4,0
319,CashIn,ACH,97250,2922817,18,1,0
320,CashIn,ACH,22206,4928,18,4,0
321,CashIn,ACH,27997,4272311,43,7,0
322,CashIn,ACH,34809,4974,3,6,0
323,CashIn,ACH,33974,1453148,15,4,0
324,CashIn,ACH,2219,1453148,15,5,0
325,CashIn,ACH,177327,4928,18,3,0
326,CashIn,ACH,406500,7353,3,5,0
327,CashIn,ACH,355200,2960078,142,9,1
328,CashIn,ACH,13256,7353,3,8,0
329,CashIn,ACH,323,4928,18,10,1
330,CashIn,ACH,872650,4928,18,4,0
331,CashIn,ACH,41,2980,8,0,0
332,CashIn,ACH,2850636,12664,18,7,0
333,CashIn,ACH,301,1453148,15,3,0
334,CashIn,ACH,1000000,400888,49,8,0
335,CashIn,ACH,30372,4974,3,6,0
336,CashIn,ACH,185000,764237,14,0,0
337,CashIn,Wire,3522333,1931268,239,5,0
338,CashOut,ACH,27801,3664364,18,8,0
339,CashIn,ACH,24018,4928,18,2,0
340,CashIn,ACH,4800,4376826,3,0,0
341,CashIn,ACH,5860,1453148,15,4,0
342,CashOut,ACH,10300,3471799,2795,1,0
343,CashIn,ACH,31173,1453148,15,0,0
344,CashIn,Wire,118492,157708,313,2,0
345,CashIn,ACH,3297,4272311,43,3,0
346,CashIn,ACH,43546,4928,18,8,0
347,CashIn,ACH,1,4928,18,1,0
348,CashIn,ACH,147743,4928,18,7,0
349,CashIn,ACH,4246,1453148,15,9,1
350,CashIn,ACH,3477,1453148,15,9,1
351,CashIn,Wire,632618,4754202,50,1,0
352,CashIn,ACH,1940647,4928,18,6,0
353,CashIn,ACH,13064,4928,18,6,0
354,CashIn,ACH,1834,6228,345,0,0
355,CashIn,ACH,51213,4928,18,8,0
356,CashIn,Wire,131100,4946699,3269,7,0
357,CashIn,ACH,7209,1453148,15,0,0
358,CashIn,ACH,14279,58937,34,6,0
359,CashIn,ACH,148522,4928,18,0,0
360,CashIn,ACH,4800000,7353,3,6,0
361,CashIn,ACH,756004,7353,3,10,1
362,CashIn,ACH,22102,4928,18,7,0
363,CashIn,ACH,76144,4585734,81822,0,0
364,CashIn,ACH,59055,565953,43,9,1
365,CashIn,ACH,70087,4928,18,3,0
366,CashOut,ACH,20190,3433062,18,9,1
367,CashIn,Wire,75000,4946821,525,8,0
